name,rating,address,category_names
Amore Ristorante e Pizzeria,3.5,30 Ingram Street,"('Italian', 'Pizza')"
Sapporo Teppanyaki,3.5,2-6 Ingram Street,"('Japanese', 'Sushi Bars')"
Picnic,5.0,103 Ingram Street,"('Cafes', 'Breakfast & Brunch', 'Desserts')"
Obsession of India,5.0,25 High Street,"('Indian',)"
Merchant Square,4.5,71 Albion Street,"('Local Flavor',)"
Metropolitan,3.5,60 Candleriggs,"('Lounges', 'Champagne Bars', 'Cocktail Bars')"
Khublai Khan's,3.5,26 Candleriggs,"('Mongolian',)"
Tron Theatre,4.0,63 Trongate,"('Performing Arts', 'Bars', 'Scottish')"
Cafe India,4.5,29 Albion Street,"('Indian',)"
Atlantic Bar & Brasserie,4.5,12-16 St Vincent Place,"('Cocktail Bars', 'Seafood', 'French')"
Jamie's Italian - Glasgow,3.0,7 George Square,"('Italian',)"
The Gannet,4.5,1155 Argyle Street,"('Scottish', 'Bistros')"
Ambala Restaurant,5.0,11 Forth Street,"('Pakistani', 'Kebab', 'Indian')"
Ollie's,4.5,122 Nithsdale Road,"('Breakfast & Brunch', 'Pizza', 'Sandwiches')"
Cafe Coco,4.5,12 Albert Drive,"('Cafes',)"
McDonald's,4.5,489 Pollokshaws Road,"('Burgers',)"
The Chicken Hut Pollokshields,4.0,162 Albert Drive,"('Chicken Wings',)"
Buddy's Bar Diner Grill,3.0,677-681 Pollokshaws Road,"('American (Traditional)', 'Barbeque', 'Bars')"
Kebabish Grill,4.0,323-325 Victoria Road,"('Indian', 'Japanese', 'Pakistani')"
Malaga Tapas,4.5,215 St Andrews Road,"('Tapas/Small Plates', 'Spanish')"
Moyra Janes,4.0,20 Kildrostan Street,"('Coffee & Tea', 'Breakfast & Brunch')"
Lahore Kebab House Halal & Indian Takeaway,2.5,196 Albert Dr,"('Halal', 'Indian')"
New Anand,3.5,76 Nithsdale Road,"('Indian',)"
Cricklewood Hotel,3.0,27 Hamilton Road,"('British',)"
Rustico,1.0,16 Grantlea Terrace,"('Coffee & Tea',)"
Rossano's Bar Bistro,4.0,846 Crow Road,"('Italian',)"
Ecco 808 il Cafe,5.0,808 Crow Road,"('Italian', 'Butcher')"
Esquire House,3.0,Clevelands,"('Pubs',)"
Thomas Auld & Sons,4.5,1632 Great Western Road,"('Bakeries',)"
B J's,1.5,828 Crow Road,"('Pubs',)"
Lunch,4.5,1620 Great Western Road,"('Cafes',)"
Subway,4.0,1617 Great Western Road,"('Fast Food', 'Sandwiches')"
Beefcake Cafe,5.0,808 Crow Road,"('Cafes',)"
Gennaro Fish & Chicken Bar,3.5,3 Herschell Street,"('Fast Food', 'Fish & Chips')"
1051 GWR,3.5,1051 Gt Western Road,"('British',)"
Cafe Mancini,3.0,Great Western Rd,"('Italian',)"
Ichai,4.0,1015 Crow Road,"('Chinese',)"
NG's Dynasty,3.5,60 Fulton Street,"('Fast Food',)"
Three Craws,3.5,501 Crow Road,"('Pubs',)"
Bawarchi Indian Restaurant,4.0,995 Crow Street,"('Indian',)"
McDonald's,3.0,1841 Great Western Road,"('Fast Food',)"
Little SoHo Jordanhill,3.0,512 Crow Rd,"('Italian', 'Pizza', 'Cocktail Bars')"
Stazione,4.0,1051 Great Western Road,"('Specialty Food', 'British', 'Italian')"
A Tomasso,2.5,550 Crow Road,"('Ice Cream & Frozen Yogurt',)"
The Kitchen,1.0,1006 Crow Road,"('Fast Food',)"
Where The Monkey Sleeps,4.5,182 West Regent Street,"('Coffee & Tea', 'Sandwiches', 'Bagels')"
Piccolo Mondo,4.0,344 Argyle Street,"('Italian', 'Mediterranean')"
Ho Wong,3.5,82 York Street,"('Chinese',)"
The Butchershop Bar & Grill,4.5,1055 Sauchiehall Street,"('Steakhouses', 'Wine Bars')"
La Lanterna,4.0,447 Great Western Road,"('Italian', 'Wine Bars', 'Cocktail Bars')"
Mother India's Café,4.5,1355 Argyle Street,"('Indian',)"
BrewDog Glasgow,4.5,1397 Argyle Street,"('Bars',)"
Firebird,4.0,1321 Argyle Street,"('Italian', 'Pizza', 'Pubs')"
Roast,4.5,1299 Argyle Street,"('Sandwiches',)"
Kelvingrove Park,4.5,Kelvingrove Park,"('Parks', 'Playgrounds')"
The 78,4.0,10-14 Kelvinhaugh Street,"('Bars', 'Vegan')"
Tantrum Doughnut,4.5,27 Old Dumbarton Road,"('Donuts', 'Coffee & Tea', 'Milkshake Bars')"
Dukes,4.5,41 Old Dumbarton Road,"('Pubs',)"
The Little Cafe,4.5,1357 Argyle Street,"('Cafes', 'Pizza')"
Dining In with Mother India,4.5,1347 Argyll Street,"('Indian',)"
Bar Soba Mitchell Lane,4.0,11 Mitchell Lane,"('Japanese', 'Asian Fusion')"
For Fika Sake,4.0,7 Keith Street,"('Cafes',)"
The Sparkle Horse,4.0,16 Dowanhill Street,"('Pubs',)"
Dumpling Monkey,4.5,121 Dumbarton Road,"('Dim Sum', 'Fast Food')"
The Finnieston,4.0,1125 Argyle Street,"('Seafood', 'Cocktail Bars')"
Lebowskis,4.0,1008 Argyle Street,"('Pubs',)"
Fanny Trollopes Bistro,4.5,1066 Argyle Street,"('British', 'Seafood')"
The Steamie Coffee Roasters,4.5,1024 Argyle Street,"('Cafes',)"
Kelvingrove Café,4.0,1161 Argyle Street,"('Cocktail Bars', 'Cafes')"
The Sisters,4.5,36 Kelvingrove Street,"('British',)"
Tarantino,4.5,916 Sauchihall Street,"('Italian',)"
Distill,4.0,1102-1106 Argyle Street,"('Pubs', 'British')"
Horn Please,4.5,914-916 Sauchiehall Street,"('Indian',)"
Danny Singh's Gandhi,5.0,441 Victoria Road,"('Indian',)"
Continental Delicatessen,4.5,503 Victoria Road,"('Delis',)"
Queens Cafe,4.0,515-517 Victoria Road,"('Cafes',)"
Anarkali Indian,3.5,531 Victoria Road,"('Indian', 'Pakistani')"
Panda House,4.0,665-667 Pollokshaws Rd,"('Chinese',)"
Desi Curry Palace Halal Takeaway,4.5,144 Allison Street,"('Fast Food', 'Pizza', 'Kebab')"
Brodies,4.0,777 Pollokshaws Road,"('Beer Bar', 'Fish & Chips', 'Burgers')"
Mulberry Street,4.0,778 Pollokshaws Road,"('Pubs',)"
Allison Arms,4.0,720 Pollokshaws Road,"('Pubs',)"
Marchtown,4.5,741 Pollokshaws Road,"('Wine Bars', 'Venues & Event Spaces', 'Bistros')"
Lebowskis South,3.5,69 Nithsdale Road,"('Pubs', 'Breakfast & Brunch', 'Cafes')"
111 By Nico,4.5,111 Cleveden Road,"('Bars', 'British')"
Cafe Source Too,3.5,Hillhead Sports Club,"('Gastropubs',)"
Di Maggio's,4.0,61 Ruthven Lane,"('Pizza', 'Italian', 'Gluten-Free')"
Bingham Pond,2.0,1057 Great Western Rd,"('Local Flavor',)"
Caffe Parma,3.5,Western Tennis Club,"('Italian',)"
Kothel,3.5,300 Crow Road,"('Cafes',)"
Jellyhill,3.5,195 Hyndland Road,"('Coffee & Tea', 'Breakfast & Brunch')"
Baby Grand,4.5,3 - 7 Elmbank Gardens,"('Bars', 'Brasseries')"
Cuningar Loop,4.5,Downiebrae Road,"('Parks',)"
McDonalds,4.0,Dalmarnock Road,"('Fast Food', 'Burgers')"
Light Bite,5.0,19 Sinclair Drive,"('Coffee & Tea', 'Sandwiches')"
blether,4.5,49 Sinclair Drive,"('Cafes',)"
Mr V's Fast Food,3.0,118 Battlefield Road,"('Fish & Chips',)"
Baguette Express,4.0,120 Battlefield Road,"('Sandwiches',)"
Trevi Italian,5.0,9 Lochleven Road,"('Pizza', 'Italian', 'Burgers')"
Church On The Hill,3.0,16 Algie Street,"('Pubs', 'British')"
Cherry & Heather,4.5,7 North Gower Street,"('Cafes',)"
House For An Art Lover,4.5,10 Dumbreck Road,"('Landmarks & Historical Buildings', 'Modern European')"
The Balcony Cafe,4.0,534 Paisley Road W,"('Cafes', 'Coffee & Tea')"
Beirut Star,5.0,450 Paisley Rd W,"('Lebanese',)"
The Louden Tavern: Ibrox Stadium,2.5,111 Copland Road,"('Pubs',)"
Subway,1.5,470 Paisley Road W,"('Sandwiches',)"
Art Lovers Cafe,5.0,House for an Art Lover,"('French', 'British')"
Bellahouston Park,4.5,16 Dumbreck Road,"('Parks',)"
Copper Pot,4.0,424 Paisley Road West,"('Coffee & Tea', 'Cafes')"
The Criterion Fish & Chip Shop,3.0,432 Paisley Road West,"('Fish & Chips',)"
The Kensington,2.5,408 Paisley Rd W,"('Pubs',)"
The Sportsman,4.0,144 Copland Road,"('Fish & Chips',)"
Glasgow Tower,4.5,50 Pacific Quay,"('Landmarks & Historical Buildings',)"
Tartan Fish & Chips,3.0,Paisley Road West,"('Fish & Chips',)"
Serene Coffee House,4.0,381 Paisley Road W,"('Cafes',)"
Kismet Tandoori,5.0,170 Copland Road,"('Indian',)"
Chicago Grill,3.5,379 Paisley Road W,"('Barbeque', 'Burgers')"
New Star,3.5,387 Paisley Road West,"('Chinese',)"
Pollokshields Burgh Hall,5.0,70 Glencairn Drive,"('Landmarks & Historical Buildings',)"
Cook & Indi's World Buffet,3.0,251 Paisley Road,"('Buffets',)"
La Tea Doh,3.5,136 Nithsdale Road,"('Delis', 'Cafes')"
District Bar,2.5,252 Paisley Road West,"('Pubs',)"
Tasty by Tony Singh,3.0,Alea Casino,"('Indian',)"
Oriental Express,3.5,155 Springburn Way,"('Fast Food', 'Chinese')"
Greggs,5.0,Unit 27 Springburn Way,"('Bakeries',)"
Bells Bar,1.0,143 Springburn Way,"('Pubs',)"
Oriental Cuisine,4.5,209 Springburn Way,"('Fast Food',)"
Thomsons Public House,5.0,275 Springburn Way,"('Pubs',)"
Lets Wok N Roll,3.0,8a Angus Street,"('Fast Food',)"
Chakwal Tandoori,1.0,94 Springburn Way,"('Indian',)"
KFC,2.5,1171 Springburn Road,"('Fast Food', 'Chicken Shop', 'Chicken Wings')"
Barbarossa Restaurant,4.0,1/7 Clarkston Road,"('Wine Bars', 'Italian')"
Gerry's,3.0,245 Newlands Road,"('Fast Food', 'Fish & Chips')"
Soup's On and The Cake Lady,4.5,115 Clarkston Road,"('Coffee & Tea', 'Breakfast & Brunch', 'Soup')"
Caffe Coupa,4.5,115 Clarkston Road,"('Fast Food', 'Sandwiches')"
Reeva,4.0,21 Clarkston Road,"('Coffee & Tea', 'Sandwiches')"
Beechings Public House,3.0,34 Clarkston Road,"('Pubs',)"
Old Smiddy,4.0,131 Old Castle Road,"('Pubs',)"
Cathay Cuisine,3.5,121 Clarkston Road,"('Japanese', 'Thai', 'Cantonese')"
Ashoka Southside,4.0,268 Clarkston Road,"('Indian', 'Fast Food')"
The River Cart,5.0,Cathcart,"('Local Flavor', 'Lakes')"
Costa Coffee,3.0,Glasgow Road,"('Coffee & Tea',)"
The Bank,3.5,443 Clarkston Rd,"('Pubs', 'Gastropubs')"
The Fifteen,4.0,Clarkston Road,"('Chinese', 'Fast Food')"
Real Madras,5.0,185 Clarkston Road,"('Indian',)"
Holmwood House,4.5,61-63 Netherlee Road,"('Museums',)"
Jist Misto,4.5,1835 Paisley Rd W,"('Italian',)"
Baxters Take Away,5.0,835 Mosspark Drive,"('British',)"
Wee Indian,1.0,325 Forge Street,"('Indian',)"
China Chef,1.0,529 Carntyne Road,"('Chinese',)"
New Panda House,1.0,7 Murrayfield Street,"('Fast Food',)"
Cafe Spice,3.0,331-335 Cumbernauld Road,"('Fast Food',)"
The Hot Spot,1.0,325 Forge Street,"('Indian',)"
punjab karahi,3.5,525 Carntyne Road,"('Fast Food', 'Indian')"
Jaconelli's,4.5,1419 Maryhill Road,"('Fast Food', 'Ice Cream & Frozen Yogurt')"
The Spice Room,5.0,1348 Maryhill Rd,"('Indian',)"
Maryhill Burgh Halls,3.0,10-24 Gairbraid Avenue,"('Cultural Center', 'Music Venues', 'Coffee & Tea')"
Fireman Gates,5.0,Maryhill Fire Station,"('Landmarks & Historical Buildings',)"
The Lockhouse Bar & Restaurant,2.5,1397 Maryhill Road,"('Bars',)"
Killermont Polo Club,4.5,2022 Maryhill Road,"('Indian', 'Pakistani')"
McDonald's Restaurants,2.5,1200 Maryhill Road,"('Restaurants',)"
North Kelvin Meadow,4.0,Clouston Street,"('Parks', 'Community Service/Non-Profit')"
Spice Of India,5.0,123 Cleveden Road,"('Indian',)"
Frampton's Night Clubs,2.5,1236 Maryhill Road,"('Bars', 'Dance Clubs')"
Rams Head,3.5,1969 Maryhill Road,"('Pubs',)"
Viking Bar,2.0,1190 Maryhill Road,"('Pubs',)"
Wongs Restaurant,2.5,920 Maryhill Rd,"('Chinese', 'Fast Food')"
Jacqui's,3.0,1057 Maryhill Rd,"('Breakfast & Brunch',)"
Kelbourne Street Playpark,4.0,Kelbourne Street,"('Local Flavor', 'Parks')"
Wok Cuisine,2.5,121 Cleveden Road,"('Fast Food',)"
Brazen Head,5.0,1-3 Cathcart Road,"('Pubs',)"
Ann's Fry,4.0,196 Crown Street,"('Fish & Chips',)"
Macsorley's,4.0,42 Jamaica Street,"('Pubs', 'Music Venues')"
Nic's NYC Deli,4.5,50 St Enoch Square,"('American (New)', 'Fast Food', 'Donuts')"
Sharkeys Bar,4.0,51 Old Rutherglen Road,"('Pubs',)"
Maggie May's,3.5,60 Trongate,"('Bars', 'Music Venues', 'Dance Clubs')"
Nando's,4.0,st Enoch Square,"('Fast Food', 'Chicken Shop')"
Ddoce,4.5,St Enoch Shopping Centre,"('Cafes', 'Patisserie/Cake Shop', 'Italian')"
Babylon Cafe,4.5,7 Clyde Place,"('Middle Eastern', 'Persian/Iranian', 'Turkish')"
Gin 71,4.5,71 Renfield Street,"('Cocktail Bars',)"
Cup Tea Lounge,4.0,71 Renfield Street,"('Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches')"
Laboratorio Espresso,4.5,93 West Nile Street,"('Coffee & Tea',)"
Cafe Serena,3.5,328-330 Maxwell Road,"('Indian', 'Pakistani')"
Sholeh,4.5,146 Nelson Street,"('Persian/Iranian',)"
Sugar Rush,4.5,32 St Andrew's Road,"('Ice Cream & Frozen Yogurt',)"
Subway,3.0,38 Herriet St,"('Sandwiches', 'Fast Food')"
Village Curry House,4.0,119 W Street,"('Indian', 'Pakistani')"
Cafe 13,4.0,794 Govan Road,"('Coffee & Tea',)"
Balbir's,4.5,7 Church Street,"('Indian',)"
Tall Ship At Glasgow Harbour,4.0,100 Stobcross Road,"('Museums', 'Local Flavor')"
Usha's,4.0,2 Byres Road,"('Indian', 'Vegetarian')"
Three Judges,4.0,141 Dumbarton Road,"('Pubs',)"
Subway,1.0,Unit 3,"('Sandwiches',)"
Little Curry House,4.5,41 Byres Road,"('Indian',)"
Farmfoods,5.0,5 Govan Cross Shopping Centre,"('Ice Cream & Frozen Yogurt',)"
Rainbow Bridge,5.0,Art Park,"('Landmarks & Historical Buildings',)"
McDonald's Restaurants,3.0,Helen Street,"('American (Traditional)',)"
KFC,4.0,382 Helen st,"('Fast Food',)"
The Argyle House Restaurant,4.5,150 Edmiston Drive,"('British',)"
Posh Deli,4.5,1256 Paisley Road West,"('Delis',)"
Pizza Hut,2.0,380 Helen Street,"('Pizza',)"
Dragon City Takeaway,5.0,144 Craigton Road,"('Fast Food',)"
Ocean Palace,1.5,8 Summertown Road,"('Fast Food', 'Cantonese')"
Ardnamurchan,4.5,325 Hope Street,"('Scottish', 'Wine Bars')"
The Drake,4.0,1 Lynedoch Street,"('Pubs',)"
The Cabin,3.5,998 Dumbarton Road,"('Irish', 'Karaoke')"
Abarcrombys Cafe Bar,5.0,180 Dumbarton Road,"('Bars', 'Cafes')"
Papa Johns,3.5,12 Norby Road,"('Pizza', 'Fast Food')"
Po'Boyz,4.0,Broomhill Shopping Centre,"('American (New)',)"
Ninos West End,4.0,911 Dumbarton Road,"('Italian', 'Burgers')"
Brazuca Cafe,4.0,1 Methill Street,"('Cafes',)"
Broomhill Church Of Scotland,4.0,64-66 Randolph Road,"('Churches', 'Local Flavor')"
Cupcakes For You & West End Vintage,5.0,1251 Dumbarton Road,"('Cupcakes',)"
Magic Grill,5.0,1341 Dumbarton Road,"('Restaurants',)"
Tollcross Park,4.5,254B Wellshot Road,"('Parks',)"
McDonald's Restaurants,5.0,10 Westhorn Drive,"('American (Traditional)',)"
Mmm Delicious,1.0,933 Tollcross Road,"('Cafes', 'Ice Cream & Frozen Yogurt')"
Ruby Murrys,4.0,1198 Shettleston Road,"('Indian',)"
Enzos Fish & Chips,5.0,1200 Shettleston Road,"('Fish & Chips', 'Fast Food')"
Garlic Delicatessens,5.0,793 Shettleston Road,"('Delis', 'Delicatessen')"
The Portland Arms,3.0,1169 Shettleston Road,"('Pubs',)"
The Drum,5.0,1071 Shettleston Road,"('Pubs',)"
Cotters Bar,2.0,498 Tollcross Road,"('Pubs',)"
The Favorite Cafe,4.0,1078 Shettleston Road,"('Candy Stores', 'Cafes')"
Gourmet House,5.0,1280 Tollcross Road,"('Fast Food',)"
Cafe Shama,4.0,1207 Shettleston Road,"('Fast Food',)"
Orion Way,3.0,30-40 Westhorn Drive,"('Pubs', 'Casinos')"
Pelican Cafe,1.0,763 Shettleston Road,"('Coffee & Tea',)"
Lucky Way Chinese Carry Out,1.0,900 Shettleston Road,"('Fast Food',)"
Wans Golden Corner,4.0,171 Westmuir Street,"('Fast Food',)"
The Electric Gardens at The Botanics,4.0,The Botanics,"('Local Flavor',)"
Kibble Palace,4.5,730 Great Western Road,"('Botanical Gardens',)"
Kelbourne Saint,4.5,182 Queen Margaret Drive,"('Lounges',)"
The Maggie,4.5,Queen Margaret Drive,"('Fast Food', 'British')"
Greek Orthodox Cathedral of St Luke,5.0,27 Dundonald Road,"('Churches', 'Local Flavor')"
The Tearooms At The Botanics,3.0,Glasgow Botanic Gardens,"('Tea Rooms',)"
Buongiorno,3.5,1012 Pollokshaws Rd,"('Brasseries', 'Italian')"
Star Coffee Patisserie,4.5,1002 Pollokshaws Road,"('Patisserie/Cake Shop', 'Cafes')"
Brooklyn Café,3.5,21-23 Minard Road,"('Cafes',)"
Southside Street Food Showdown,4.0,1006 Pollokshaws Road,"('Street Vendors',)"
Sweeney's on the Park,3.5,958 Pollokshaws Road,"('Pubs', 'Music Venues')"
Ad Lib,4.0,111 Hope Street,"('Bars', 'American (Traditional)')"
The Sir John Moore,3.0,260-292 Argyle Street,"('Gastropubs',)"
Solid Rock Cafe,3.5,19 Hope Street,"('Pubs',)"
The Restaurant Bar & Grill,4.5,Princes Square,"('Brasseries', 'British')"
Barca Tapas & Cava Bar,3.5,Glasgow City Centre 2nd Floor Princes Square,"('Wine Bars', 'British', 'Tapas Bars')"
One 2 Wan,4.0,376 Paisley Road W,"('Fast Food',)"
Cafe Sizzler,4.0,351 Paisley Road West,"('Cafes',)"
Chilli Cottage,3.5,404 Paisley Road W,"('Indian',)"
Star Bar,3.0,537-539 Eglinton Street,"('Pubs',)"
Saint Andrew's Cross,4.0,Pollokshaws Road,"('Local Flavor',)"
Smooth Boys Deli,3.5,26 Maxwell Road,"('Fast Food', 'Delicatessen', 'Delis')"
Ashoka,4.5,19 Ashton Lane,"('Indian', 'Fast Food')"
The Wee Curry Shop,4.5,29 Ashton Lane,"('Indian', 'Pakistani')"
Ramen Dayo!,4.0,31 Ashton Lane,"('Ramen',)"
Little Italy,4.0,205 Byres Road,"('Fast Food', 'Italian', 'Pizza')"
Bar Soba,3.0,116-122 Byres Road,"('Bars', 'Asian Fusion')"
Tennents Bar,4.0,191 Byres Road,"('Pubs',)"
Caffe 393 Bar,3.0,393 Alexandra Parade,"('Cafes',)"
Subway,4.0,433 Alexandra Parade,"('Fast Food',)"
Glasgow International Comedy Festival,4.5,278 High Street,"('Local Flavor', 'Festivals', 'Comedy Clubs')"
Food On Parade,2.0,417 Alexandra Parade,"('Coffee & Tea', 'Cafes')"
St Mungo Museum of Religious Life & Art,4.5,2 Castle St,"('Museums',)"
Provand's Lordship,4.0,3 Castle Street,"('Museums',)"
Asha's,5.0,4 Glebe Street,"('Indian',)"
Pollok House,4.5,Pollok Country Park,"('Museums',)"
Pollok House,5.0,2060 Pollokshaws Rd,"('Venues & Event Spaces', 'Landmarks & Historical Buildings')"
Pollok House,3.5,Pollok Country Park,"('Museums',)"
Pollok Gardens,4.0,2060 Pollokshaws Road,"('Botanical Gardens',)"
Old Courtyard Stables,4.0,2060 Pollokshaws Road,"('Landmarks & Historical Buildings',)"
Maxwell Park,5.0,Terregles Avenue,"('Parks',)"
The Bay Horse,2.5,962 Pollokshaws Rd,"('Pubs',)"
Rajas Fast Foods,5.0,246 Albert Drive,"('Indian',)"
Danny Singh's,2.0,26 Minard Road,"('Indian', 'Fast Food')"
Michael's Superchippy,4.0,891 Aikenhead Rd,"('Fast Food', 'Fish & Chips')"
The Scottish Football Museum,5.0,Hampden Park,"('Soccer', 'Museums')"
The Beechwood,3.0,156-164 Ardmay Crescent,"('Pubs',)"
Montford House,3.0,23-27 Curtis Avenue,"('Pubs',)"
Ali Shan Indian Take Away,4.0,250 Battlefield Road,"('Indian', 'Fast Food')"
Alishan Tandoori,2.5,250 Battlefield Road,"('Indian', 'Pakistani', 'Fast Food')"
Wokstar,2.0,523 Cathcart Road,"('Fast Food', 'Chinese')"
Cathkin Park,5.0,58-82 Florida Avenue,"('Parks',)"
Bag O Nails,4.5,165 Dumbarton Road,"('Bars', 'Music Venues')"
Delizique,4.0,66 Hyndland Street,"('Delis',)"
Delhi Darbar,4.5,4 Woodhill Road,"('Indian',)"
Aroma Cafe,4.0,New Stobhill Hospital,"('Coffee & Tea',)"
Spices,4.0,93 Auchinairn Rd,"('Fast Food',)"
Thomas Muir Coffee Shop,4.5,100 Crowhill Road,"('Coffee & Tea',)"
briggs bar,4.0,,"('Pubs',)"
Cha Cha G'z,4.0,104a Auchinairn Road,"('Turkish',)"
Springburn Park,3.5,Balgrayhill Rd,"('Parks',)"
Stan's Chinese Carryout,4.0,1349 Springburn Road,"('Fast Food',)"
Star 5 In 1,2.5,560a Broomfield Road,"('Fast Food',)"
Hong Kong House Take Away,3.0,140 Red Road,"('Fast Food',)"
The Bistro,4.0,23A Hamilton Road,"('Fast Food', 'Bistros')"
Auld Boathouse,2.0,21 River Road,"('Pubs',)"
La Bodega Tapas Bar,4.5,1120 South Street,"('Tapas Bars', 'Music Venues')"
Granny Gibbs,3.5,1305 Dumbarton Road,"('Pubs',)"
Macks Diner,5.0,45 Harland Street,"('Diners',)"
Harbour Cafe,5.0,719 South Street,"('Cafes',)"
Pizza Amore Takeaway,5.0,1499 Dumbarton Road,"('Food Delivery Services', 'Pizza')"
Clyde Tunnel,3.5,,"('Transportation', 'Local Flavor')"
Mario and Sons,3.0,,"('Fish & Chips',)"
Neelim Restaurant,5.0,1590 Dumbarton Road,"('Restaurants',)"
Ninja Turtles Pizzeria,1.0,911 Dumbarton Road,"('Italian',)"
Rawlings - Love To Eat,5.0,583 Mosspark Boulevard,"('Cafes', 'Bakeries', 'Scottish')"
Bella Vita,4.0,597 Mosspark Boulevard,"('Italian', 'Burgers')"
Leo's Express,4.0,1456 Paisley Road West,"('American (Traditional)',)"
Mcharg Bakers' Shops,5.0,1493 Paisley Road West,"('Bakeries',)"
Boulevard Fish Bar,5.0,595 Mosspark Boulevard,"('Fast Food',)"
Himalaya,4.0,1878 Paisley Road West,"('Indian',)"
Casa Ole,4.5,1835 Paisley Road W,"('Spanish',)"
Subway,3.0,1832 Paisley Road West,"('Fast Food', 'Sandwiches')"
Quo Vadis,3.0,1860 Paisley Road West,"('Pubs',)"
Chilli's Take Away Food Shops,4.0,1783 Paisley Road West,"('Fast Food',)"
Garngads Fish & Chip Shop,2.0,132 Royston Road,"('Fish & Chips',)"
Sighthill Stone Circle,4.0,Sighthill park,"('Landmarks & Historical Buildings',)"
Blue Sky Chinese Take Away,3.5,248 Crow Road,"('Fast Food',)"
Domino's Pizza,4.5,Unit 2 117 Crow Road,"('Pizza',)"
Knightswood Chinese Takeaway,5.0,247 Alderman Road,"('Fast Food',)"
Lincoln Inn,1.5,2131 Great Western Road,"('Pubs', 'Gastropubs')"
Knightswood Golf Course,2.5,Loanfoot Avenue,"('Golf', 'Parks')"
Freddie's Food Club,2.5,2139 Great Western Road,"('Fast Food',)"
Knightswood Deli,1.0,302 Dyke Road,"('Delis',)"
Little India,1.0,477 Blairdardie Road,"('Indian',)"
The Soup & Juice Co,3.5,Unit 1,"('Juice Bars & Smoothies', 'Soup', 'Sandwiches')"
Camden Food Co.,4.5,Southern General Hospital,"('Coffee & Tea', 'Sandwiches')"
Aroma Cafe,3.0,1345 Govan Road Govan,"('Coffee & Tea',)"
Steam Wheeler,3.5,1 Row Avenue,"('British', 'Pubs')"
McDonald's,3.0,Braehead Shopping Centre,"('Fast Food', 'Burgers')"
M&S Simply Food,5.0,South Glasgow University Hospital,"('Fast Food', 'Sandwiches')"
The Amethyst,4.0,1209 Govan Road,"('Pubs',)"
Dowanhill Park,4.5,Havelock St/ Highburgh Rd,"('Playgrounds', 'Parks')"
Roll With It,1.0,1145 Govan Road,"('Cafes', 'Delis', 'Soup')"
Polka Dot Caffe,4.0,10 Holmfauldhead Place,"('Cafes',)"
Ralphs Tastybites,3.0,307 Shieldhall Road,"('Fish & Chips',)"
